Name
NUS Bachelor of Laws
SMU Law
SMU Law Cum Laude and above
NUS Bachelor of Computing (Computer Science)
SMU Computer Science Cum Laude and above
NTU Double Degree in Business and Computer Engineering/Computing
SMU Computer Science
SMU Information Systems Cum Laude and above
NUS Bachelor of Engineering (Computer Engineering)
NUS Bachelor of Computing (Information Security)
NUS Bachelor of Computing (Information Systems)
NUS Bachelor of Science (Business Analytics)
NTU Double Degree in Engineering and Economics*
NTU Computer Engineering
SMU Information Systems
NTU Data Science and Artificial Intelligence
NTU Computer Science
NUS Bachelor of Business Administration
NUS Bachelor of Science (Data Science and Analytics)
SMU Business Management Cum Laude and above
SMU Economics Cum Laude and above
NUS Bachelor of Business Administration (Hons)
NUS Bachelor of Engineering (Electrical Engineering)
NTU Electrical and Electronic Engineering
NTU Information Engineering and Media
NTU Aerospace Engineering
NTU Accountancy and Business
NUS Bachelor of Engineering (Industrial and Systems Engineering)
NUS Bachelor of Science with Honours
NUS Bachelor of Dental Surgery
NUS Bachelor of Engineering (Engineering Science)
SMU Accountancy Cum Laude and above
SMU Economics
NUS Bachelor of Engineering (Mechanical Engineering)
SMU Business Management
NUS Bachelor of Engineering (Chemical Engineering)
NTU Mechanical Engineering
NUS Bachelor of Engineering (Materials Science and Engineering)
NTU Economics
SMU Social Sciences Cum Laude and above
NTU Science (and Education)*
NTU Business
NUS Bachelor of Science*
NTU Mathematics and Mathematical Sciences
NUS Bachelor of Arts with Honours
NUS Bachelor of Engineering (Environmental Engineering)
NTU Public Policy and Global Affairs
NUS Bachelor of Business Administration (Accountancy) (Hons)
NTU Chemical and Biomolecular Engineering
NTU Maritime Studies
NTU Materials Engineering
NTU History
NTU Arts (and Education)
NTU Environmental Earth Systems Science
NTU Environmental Engineering
NUS Bachelor of Engineering (Biomedical Engineering)
NTU Chinese
NTU Bioengineering
NUS Bachelor of Social Sciences
NUS Bachelor of Arts (Hons)
NTU Sociology
NUS Bachelor of Science (Hons)
NUS Bachelor of Science (Real Estate)
NUS Bachelor of Engineering (Civil Engineering)
NUS Bachelor of Arts (Industrial Design)
NTU Civil Engineering
NTU Interdisciplinary Double Major8
NTU Philosophy
NTU Psychology
NTU Physics and Applied Physics
SMU Social Sciences
NUS Bachelor of Science (Nursing) (Hons)
NUS Bachelor of Music
NUS Bachelor of Environmental Studies
NTU Biological and Biomedical Sciences
NTU Linguistics and Multilingual Studies
NUS Bachelor of Science (Pharmaceutical Science) (Hons)
SMU Accountancy
NUS Bachelor of Science (Project and Facilities Management)
NUS Bachelor of Science (Nursing)
NTU Sports Science and Management
NTU Chemistry and Biological Chemistry
NTU English
NUS Bachelor of Arts
NTU Communication Studies
NUS Bachelor of Business Administration (Accountancy)*
NTU Accountancy
"NTU Art, Design and Media"
NUS Bachelor of Landscape Architecture*
NTU Biomedical Sciences and Chinese Medicine*
NUS Bachelor of Science (Computational Biology)**
NUS Bachelor of Science (Pharmacy)**
NUS Bachelor of Arts (Architecture)**
NUS Bachelor of Medicine and Bachelor of Surgery**
NTU Medicine**
NUS-ISS Master of Technology in Software Engineering
NUS-ISS Master of Technology in Enterprise Business Analytics
NUS-ISS Master of Technology in Artificial Intelligence Systems
NUS-ISS Master of Technology in Digital Leadership
